Voltage A-B  Sect. A,42945,,
Voltage B-C  Sect. A,42947,,
Voltage C-A  Sect. A,42949,,
Current L1  Sect. A,42951,,
Current L2  Sect. A,42953,,
Current L3  Sect. A,42955,,
KW  Sect. A,42957,,
Frequency  Sect. A,42959,,
Voltage A-B  Sect. B,42817,,
Voltage B-C  Sect. B,42819,,
Voltage C-A  Sect. B,42821,,
Current L1  Sect. B,42823,,
Current L2  Sect. B,42825,,
Current L3  Sect. B,42827,,
KW  Sect. B,42829,,
Frequency  Sect. B,42831,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
